source_id,original_topic,original_point,target_world_ids,target_point_ids,lesson_ids,backlog_status,transformation_type,exclusion_or_defer_reason,authority_role
C223,hypothetical engineering and planning situations,"counterfactual conditional “if…were…, would…”",[],"[""P-CF-001""]","[""L289""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C224,exceptions to a general rule,“unless”,[],"[""P-ALT-001""]","[""L118""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C225,two facts that remain true despite conflict,“although/even though”,[],"[""P-CONTR-001""]","[""L245""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C226,contrasting two explanations or observations,sentence connector “however”,[],"[""P-ACA-001"",""P-CONTR-001""]","[""L245"",""L290""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C227,drawing a conclusion from prior facts,sentence connector “therefore”,[],"[""P-ACA-001""]","[""L290""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C228,adding another supporting fact,“moreover/in addition”,[],"[""P-ACA-001""]","[""L290""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C229,trends involving two changing quantities,"“the more…, the more…” and “the less…, the less…”",[],"[""P-CORREL-001""]","[""L258""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C230,proportional change in ordinary systems,"“as X increases/decreases, Y…”",[],"[""P-CORREL-001""]","[""L258""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C231,causes with multiple contributing factors,“because of/due to” + noun phrase,[],"[""P-CAU-004""]","[""L194""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C232,consequences in systems,“leads to/results in”,[],"[""P-CAU-003"",""P-CAU-004""]","[""L192"",""L194""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C233,comparing two explanations,“whereas”,[],"[""P-ACA-001"",""P-CONTR-001""]","[""L245"",""L290""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C234,alternative classifications,“not X but Y”,[],"[""P-ALT-001""]","[""L118""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C235,ranges and approximate quantities,“about/approximately/between…and…”,[],"[""P-APPROX-001""]","[""L222""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C236,statements that are generally but not universally true,hedging with “usually/generally/often/tends to”,[],"[""P-CERTAINTY-001"",""P-GEN-001""]","[""L114"",""L291""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C237,confidence in an explanation,certainty scale “certainly/probably/possibly”,[],"[""P-CERTAINTY-001""]","[""L291""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C238,evidence from different sources,"“according to,” “based on,” and “supported by” as source/evidence relations","[""W-EPI-003"",""W-EPI-007""]","[""P-SRC-001""]","[""L199"",""L274"",""L276""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C239,correcting or refining an earlier statement,“more precisely/in other words”,"[""W-EPI-002""]","[""P-EPI-002"",""P-REFINE-001""]","[""L218"",""L223"",""L293""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C240,summarizing a process or explanation,“overall/in summary”,[],"[""P-SUM-001""]","[""L294""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
